제목,평점,리뷰
타이타닉 2,1,2.22점을 위한 노오력
리틀 포레스트,10,자극적인 맛이 아닌 깨끗하고 슴슴한 맛. 하지만 다양하고 깊다.
리틀 이블,6,연출과 편집은 깔끔했지만 중후반부 부터 똘끼가 떨어지며 이야기의 맥이 죽었다. 더 막나갔으면 좋았을 것.
콜,10,전종서 연기가 믿고 보는 영화...
월드 인베이젼,6,"네이버 평점보고 봤다가 후회막급, 전형적인 미국뽕영화 해병은 영원하다며 한명 영웅만들어주기 외계인 초반에 엄청 강한것처럼 나오는데주인공 부대원들 앞에서는 졸라약함 너무 전개가 뻔해서 안봐도됨"
국제수사,8,볼만해요 재미요소도 나름있고 가볍게보기 좋았어요
에이바,2,아 이걸 못피하다니...
아메리칸 뷰티,10,"기대 이상임. 사랑, 가족, 관계... 이런 것들에 대해 다루는 영화임."
터미네이터 제니시스,7,굳이 이렇게 계속 돈을 쏟아야 하나 ...
이웃사촌,8,이유비가 가장 예뻤던 작품
타이타닉 2,1,2.22점을 위한 노오력
리틀 포레스트,10,자극적인 맛이 아닌 깨끗하고 슴슴한 맛. 하지만 다양하고 깊다.
리틀 이블,6,연출과 편집은 깔끔했지만 중후반부 부터 똘끼가 떨어지며 이야기의 맥이 죽었다. 더 막나갔으면 좋았을 것.
콜,10,전종서 연기가 믿고 보는 영화...
월드 인베이젼,6,"네이버 평점보고 봤다가 후회막급, 전형적인 미국뽕영화 해병은 영원하다며 한명 영웅만들어주기 외계인 초반에 엄청 강한것처럼 나오는데주인공 부대원들 앞에서는 졸라약함 너무 전개가 뻔해서 안봐도됨"
국제수사,8,볼만해요 재미요소도 나름있고 가볍게보기 좋았어요
에이바,2,아 이걸 못피하다니...
아메리칸 뷰티,10,"기대 이상임. 사랑, 가족, 관계... 이런 것들에 대해 다루는 영화임."
터미네이터 제니시스,7,굳이 이렇게 계속 돈을 쏟아야 하나 ...
이웃사촌,8,이유비가 가장 예뻤던 작품
터미네이터: 미래전쟁의 시작,8,터미네이터 시리즈 중에선 그래도 상위권
조제,6,조제가 더 이상 기대지않고 혼자서도 일어서는 과정
디지몬 어드벤처 라스트 에볼루션 : 인연,9,어른이 됐다는걸 느끼게해주는영화 다음편도 나올것같음
차인표,1,"차인표가 투자, 제작한줄"
동주,10,인생영화! 여운이 남는 영화다
조제,1,저 영화보다 처음으로 잤어요 기억 안나는데 일어나서 오분정도 봤는데 영화 끝나서 뭐지? 했는데 앞에 분 울고 계시길래 빨리 나왔어요
수상한 그녀,10,짱재밌음 걍 보세요 내가 좋아하는 영화임
랭고,10,
